url,title,date_extracted,content,category
https://www.1tv.ru/news/2008-06-20/191112-finansisty_v_amerike_menyayut_belyy_vorotnichok_na_tyuremnuyu_robu,Финансисты в Америке меняют белый воротничок на тюремную робу,2008-06-20,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2008-08-22/188123-doli_telekanalov_21_avgusta_2008_goda,Доли телеканалов 21 августа 2008 года,2008-08-22,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2008-06-24/191252-prezidenty_rf_i_armenii_vystupayut_za_mirnoe_reshenie_konfliktov_v_zakavkazie,Президенты РФ и Армении выступают за мирное решение конфликтов в Закавказье,2008-06-24,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2008-07-24/186508-na_seligere_prodolzhaet_rabotu_vserossiyskiy_obrazovatelnyy_forum,На Селигере продолжает работу Всероссийский образовательный форум,2008-07-24,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2008-12-25/180593-zapusk_rakety_nositelya_proton_proshel_v_shtatnom_rezhime,Запуск ракеты-носителя «Протон» прошeл в штатном режиме,2008-12-25,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/economika/2008-04-02,Новости рубрики «Экономика» за  2 апреля 2008 года,2008-04-02,"Власти России создадут благоприятные условия для привлечения иностранных инвесторов
Об этом заявил сегодня Владимир Путин, принимая ведущих итальянских предпринимателей.
02 апреля 2008, 21:27",economika
https://www.1tv.ru/news/2008-09-11/181541-dmitriy_medvedev_terakt_11_sentyabrya_eto_byl_vyzov_vsemu_miru_ne_tolko_amerike,"Дмитрий Медведев: «Теракт 11 сентября — это был вызов всему миру, не только Америке»",2008-09-11,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2008-11-06/177493-mihail_shvydkoy_utverzhden_novym_prezidentom_akademii_rossiyskogo_televideniya,Михаил Швыдкой утвержден новым президентом Академии российского телевидения,2008-11-06,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2008-07-12/185861-v_novgorodskoy_oblasti_turisty_otpravilas_v_ekstremalnyy_splav_po_reke_mste,В Новгородской области туристы отправилась в экстремальный сплав по реке Мсте,2008-07-12,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2008-07-26/186598-v_estonskom_mestechke_sinimyae_proshla_ezhegodnaya_vstrecha_veteranov_20_divizii_ss,В эстонском местечке Синимяэ прошла ежегодная встреча ветеранов 20 дивизии СС,2008-07-26,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2008-06-12/190680-v_kremle_proshla_torzhestvennaya_tseremoniya_vrucheniya_gosudarstvennyh_premiy,В Кремле прошла торжественная церемония вручения Государственных премий,2008-06-12,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
