message_id,date,text,urls,has_photo,views
28614,2026-03-09T08:04:57+00:00,"#KievRegimeCrimes 
 
 📑 A Report on the crimes of the Kiev regime in February 2026 compiled by the Ambassador-at-Large of the Russian Foreign Ministry Rodion Miroshnik has been published. 
 
 Over the 28 days of February, 149 more civilians were affected by criminal actions of Ukrainian armed formations than in January 2026. 
 
 ❗️ In total, at least 536 civilians were affected by attacks by the Ukrainian militants in February. 72 people were killed, while 464 sustained injuries of varying severity. 
 
 In the final week of February, 90% of all civilian casualties were the result of strikes by Ukrainian UAVs . Compared with January, 124 more civilians were affected by drone attacks. 
 
 Overall, 439 civilians were affected by UAV attacks over the past month, 59 of whom were killed . 
 
 As a result of UAV strikes, one child was killed , while 17 minors sustained injuries of varying severity. 
 
 Kiev has focused its efforts on creating unbearable living conditions for the civilian population, primarily by seeking to strike civilian energy infrastructure facilities as much as possible. 
 
 👉 Full version of the report 
 👉 Full report (PDF version)",?q=%23KievRegimeCrimes|https://mid.ru/upload/medialibrary/032/s1b6ybql8wpo04ir6e5d5agjtmmq1sum/MONTHLY%20Overview%20February%202026.pdf|https://t.me/miroshnik_r|https://mid.ru/ru/foreign_policy/doklady/obzory_posla_po_osobym_porucheniyam_mid_rossii_po_prestupleniyam_kievskogo_rezhima_r_v_miroshnika/2084617/?lang=en|https://mid.ru/upload/medialibrary/032/s1b6ybql8wpo04ir6e5d5agjtmmq1sum/MONTHLY%20Overview%20February%202026.pdf,True,5.37K
28619,2026-03-09T12:02:09+00:00,"🇷🇺 🇮🇷 President of Russia Vladimir Putin sent a congratulatory message to the Supreme Leader of Iran, Ayatollah Seyyed Mojtaba Hosseini Khamenei, on the occasion of his election (March 9, 2026) 
 
 ✍️ Esteemed Mr Hosseini Khamenei, 
 
 Please accept my sincere congratulations on your election as the Supreme Leader of the Islamic Republic of Iran. 
 
 At a time when Iran is confronting armed aggression, your work in this high office will undoubtedly require great courage and dedication. I am confident that you will honourably continue your father’s legacy and unite the Iranian people in the face of these severe trials. 
 
 For my part, I would like to reaffirm our unwavering support for Tehran and our solidarity with our Iranian friends. Russia has been and will remain a reliable partner of the Islamic Republic. 
 
 I wish you every success in addressing the difficult tasks ahead, as well as sound health and strength of spirit. 
 
 Respectfully, 
 
 VLADIMIR PUTIN",http://kremlin.ru/events/president/letters/79285,True,2.96K
28620,2026-03-09T13:40:27+00:00,"🇷🇺 Russian Paralympic Committee : 
 
 🥇 For the first time since 2014, the Russian national anthem is once again being played at a Paralympic Games medal ceremony! 
 
 On March 9, Russian skier Varvara Voronchikhina won the Paralympic GOLD medal in the super-giant slalom event. 
 
 💬 As Varvara herself noted : 
 The emotions are overwhelming – I still haven’t realised what happened. I couldn’t believe I had won when I looked at the scoreboard. 
 
 I dedicate this gold to my grandfather, who didn’t live to see my victory. Thank you to all the fans. 
 
 We have such a big country – and I still can’t believe our anthem will be played today. I have goosebumps! 
 
 Tears of joy and pride for our athlete. Our heartfelt congratulations!",https://t.me/russianparalymp/17186|https://t.me/russianparalymp/17249,False,2.2K
28621,2026-03-09T15:05:32+00:00,"#KievRegimeCrimes 
 
 ⚡️ Ambassador-at-Large of the Russian Ministry of Foreign Affairs Rodion Miroshnik : 
 
 PHOTO EVIDENCE of crimes committed by Ukrainian armed forces over the week of March 2-8, 2026 : 
 
 ▪️ March 2 – a direct hit by an artillery shell on a residential building in Vasilyevka, Zaporozhye Region. 
 
 ▪️ March 2 – a kamikaze drone strike targeted a civilian passenger car in Shebekino, Belgorod Region. 
 
 ▪️ March 3 – an attack UAV struck a civilian vehicle in Velyka Lepetykha, Kherson Region. 
 
 ▪️ March 3 – aftermath of a kamikaze drone strike on a truck delivering medical supplies on the Lisichansk – Novodruzhesk road, LPR. 
 
 ▪️ March 3 – an artillery strike on densely populated areas of Energodar, Zaporozhye Region. A civilian was injured. 
 
 ▪️ March 4 – an UAV strike on a private residential house in Shevchenkovo, Zaporozhye Region. A civilian was injured. 
 
 ▪️ March 6 – aftermath of a mass UAV attack on Sevastopol. Nine civilians were injured, including three children. 
 
 ▪️ March 7 – an FPV drone strike targeted a civilian passenger car in Shebekino, Belgorod Region. A civilian was seriously injured. 
 
 ▪️ March 8 – a mass raid of aircraft-type UAVs on apartment buildings in Vasilyevka, Zaporozhye Region. One civilian was killed, seven others were injured. 
 
 ▪️ March 8 – a kamikaze drone strike targeted an ambulance in Zamostye, Belgorod Region.",?q=%23KievRegimeCrimes|https://t.me/miroshnik_r|https://t.me/miroshnik_r/20982?single,True,2.79K
28631,2026-03-09T17:59:58+00:00,"🚀 Today marks the 92th birthday anniversary of Yury Gagarin , the Earth’s first space pilot. His flight aboard the Vostok spaceship went down in history as the humankind’s greatest breakthrough in science and technology and showed the entire world the intellectual and scientific might of our country and Soviet specialists’ audacity and top professionalism. 
 
 Yury Gagarin was born in the village of Klushino, Gzhatsk District, the Smolensk Region, on March 9 1934. It was here that in 1941, in the midst of the Great Patriotic War, young Yury first saw Soviet airplanes on sorties to defend the homeland and began dreaming about flying. 
 
 In 1954, while in industrial college, Gagarin enrolled in the Saratov flying club and made the final decision to dedicate his life to aviation. After graduating from the flying course with honours in 1955, Yury Gagarin entered an aviation academy to become a Northern Fleet air force pilot since 1957. 
 
 In 1959, Gagarin learnt about volunteers being recruited for a forthcoming space flight and submitted a report asking to enlist him in the cosmonaut team. 
 
 Head of the country’s main design bureau Sergei Korolev wanted the first cosmonaut to be a fighter pilot: “He is a pilot, navigator, communications officer, and flight engineer.” 
 
 In 1959, cosmonaut candidates began to be secretly selected in the units of the USSR Air Force: the commission reviewed the documents of 3,461 fighterpilots. Out of about 3,500 jet pilots, just 20 volunteers were selected. 
 
 In 1959, along with 19 other pilots, Yury Gagarin arrived at the Star City 25 kilometres away from Moscow. There he had both theoretical and practical flight training, and experienced artificial weightlessness and overload in a centrifuge. In October 1960, a team of six people began training on the Vostok spacecraft simulator at a research institute in Zhukovsky. 
 
 Following arduous training, exams and tests, Yury Gagarin was shortlisted to become cosmonaut Number One. 
 
 *** 
 
 YuryGagarin’s legendary flight into space , which marked the start of the manned space exploration era, took place on April 12, 1961 . 
 
 On that day, at 9:07 am at the Baikonur Cosmodrome, Yury Gagarin uttered his famous “Off we go!” and the first Vostok spacecraft with a man on board was launched. Gagarin spent 1 hour and 48 minutes in space orbiting the Earth and safely landed in the Saratov Region. The newsflash about the flight instantly circled the world. 
 
 Thousands of people greeted Gagarin in Moscow with flowers and welcome posters. 
 
 *** 
 
 🌐 Within two years of that historic event, Yury Gagarin visited over 30 countries , including Britain, France, Cuba, Japan, India, and Liberia, where he was honoured as a hero. The tour was unofficially called the “Peace Mission.” The famous Gagarin’s smile captured the entire globe, aroused sympathy and respect for the Soviet man. 
 
 🕯 The first cosmonaut tragically lost his life on March 27, 1968, when he died in a crash during a training flight on a MiG-15UTI aircraft. Gagarin’s death shocked people all over the world and became an irreparable loss for all mankind. 
 
 *** 
 
 🎖 The memory of the space pilot, Hero of the Soviet Union Yury Gagarin is immortalized in the names of localities and outer space objects. The urn with his ashes was buried in the Kremlin wall next to the ashes of designer Sergei Korolev and other prominent figures of the USSR. Monuments and busts continue to be erected all over the world in honour of the great trailblazer. The Russian Foreign Ministry and Russian foreign missions are actively contributing to this. In recent years, the sculptural image of Yury Gagarin has decorated Brasilia , Islamabad , and Doha .",https://t.me/MFARussia/15442|https://t.me/MFARussia/24399|https://t.me/MID_Russia/38658|https://t.me/MID_Russia/69895|https://t.me/MID_Russia/62672,True,2.62K
28632,2026-03-10T06:29:58+00:00,"🇷🇺 Statement by the Delegation of the Russian Federation at the 66th Session of the Working Group on Verification of the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization 
 
 📍 Vienna, March 9, 2026 
 
 Today we are witnessing how the architecture of the nuclear non-proliferation and arms control regime, which functioned for many decades, is going through a period of historic rupture . It is collapsing under the pressure of lawlessness, blatant double standards, and unprovoked aggression carried out under the false pretext of allegedly defending the goals of nuclear non-proliferation. 
 
 The carefully built technical capabilities of relevant international organizations , including the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization (CTBTO PrepCom), are being used by certain countries for opportunistic political purposes in order to level unfounded accusations against those whom they choose as their opponents. The Comprehensive Nuclear-Test-Ban Treaty (CTBT) is becoming a victim of irresponsible statements by the United States regarding the resumption of nuclear testing, as well as Washington’s manipulation of data from stations of the International Monitoring System (IMS). 
 
 The argumentation of senior representatives of the U.S. Department of State, based on information from a single IMS seismic station, relies on a biased and unequivocal interpretation of the event recorded on 22 June 2020 as a nuclear test. Anyone even slightly familiar with the subject of nuclear test detection understands that it is impossible to draw conclusions about the nature of an event based not merely on isolated but on single-source data . This is precisely why, during the drafting of the CTBT, a carefully balanced decision was taken that the technological component of its verification mechanism would include four monitoring technologies, as well as the mechanism of on-site inspections (OSI). 
 
 It is therefore not surprising that the attacks by the United States did not receive support from the expert community. The Executive Secretary of the CTBTO PrepCom also clearly stated that no conclusions can be drawn regarding the event in question. 
 
 The United States must cease the practice of manipulating facts and data and stop twisting them for its own purposes. We are not particularly concerned with the unprofessional light in which the Americans present themselves. However, we do care about the fate of the CTBT, to which such unfounded and untenable statements cause enormous damage by undermining confidence in the Treaty itself and in its verification mechanism. 
 
 If the United States truly wishes to see a fully functioning instrument for monitoring nuclear tests, it should not twist the facts but instead make efforts to ratify the CTBT in the interest of its earliest entry into force . In that case, the IMS together with OSI would make it possible, with high precision, to confirm or dispel the doubts and concerns of all States Parties to the Treaty regarding its compliance. 
 
 🔗 Read in full",https://telegra.ph/Statement-by-the-Delegation-of-the-Russian-Federation-at-the-66th-Session-of-the-Working-Group-on-Verification-of-the-Preparator-03-09,True,674
28633,2026-03-10T08:19:13+00:00,"⚡️ Comment by Presidential Aide Yuri Ushakov following the telephone conversation between Russian President Vladimir Putin and US President Donald Trump (March 9, 2026) 
 
 💬 Yuri Ushakov: On the evening of March 9, a telephone conversation took place between the Presidents of Russia and the US. 
 
 Donald Trump called Vladimir Putin to discuss a number of pressing issues related to the current international situation. Naturally, particular attention was given to the conflict around Iran and the trilateral negotiations on the Ukrainian settlement currently underway with the participation of US representatives. 
 
 I would like to note that the conversation was businesslike, candid and constructive in nature – as is typically the case in dialogue between the Russian and American Leaders. They had not spoken by phone for quite some time, the last conversation took place in late December 2025. Today’s call lasted about an hour . The US President emphasized that, as previously agreed, such contacts should be maintained on a regular basis, and both Leaders confirmed their readiness to do so. 
 
 Vladimir Putin outlined a number of considerations aimed at achieving the earliest possible political and diplomatic settlement of the conflict around Iran , including in light of his recent contacts with the Leaders of the Persian Gulf states, the President of Iran Masoud Pezeshkian and the Leaders of several other countries. 
 
 For his part, the US President shared his assessment of developments in the context of the ongoing US-Israeli operation . I would note that a rather substantive and, I believe, useful exchange of views took place on this matter. 
 
 President Trump once again expressed his interest in seeing the conflict in Ukraine concluded as soon as possible by reaching a ceasefire that would pave the way for a long-term settlement. 
 
 On the Russian Side, a positive assessment was expressed of the mediation efforts undertaken by Donald Trump’s team and by him personally. 
 
 An overview was also provided of the current situation along the line of contact, where Russian forces are advancing successfully . It was noted that this factor should encourage the Kiev regime to finally move towards negotiations aimed at settling the conflict. 
 
 The Presidents also touched upon Venezuela , primarily in the context of the situation on the global oil market. 
 
 Overall, I would reiterate that the conversation proved to be substantive and will undoubtedly have practical significance for further cooperation between the two countries across various areas of international policy. 
 
 #RussiaUSA",http://en.kremlin.ru/events/president/news/79294|https://t.me/MFARussia/27896|http://en.kremlin.ru/events/president/news|https://t.me/MFARussia/28592|?q=%23RussiaUSA,True,342
28593,2026-03-07T09:03:07+00:00,"🎙️ Statement by the delegation of the Russian Federation on behalf of 🇩🇿 🇧🇾 🇧🇷 🇧🇫 🇨🇳 🇪🇬 🇮🇳 🇮🇩 🇮🇷 🇳🇪 🇵🇰 🇷🇺 🇿🇦 Algeria, Belarus, Brazil, Burkina-Faso, China, Egypt, India, Indonesia, Iran, Niger, Pakistan, Russia and South Africa on the agenda item 10 of the session of the IAEA Board of Governors «Any other business» 
 
 📍 Vienna, March 6, 2026 
 
 Full text of the Joint Statement 
 
 Allow me to deliver this statement on behalf of the following countries : 
 People's Democratic Republic of Algeria, Republic of Belarus, Federative Republic of Brazil, Burkina-Faso, People’s Republic of China, Arab Republic of Egypt, Republic of India, Republic of Indonesia, Islamic Republic of Iran, Republic of Niger, Islamic Republic of Pakistan, Russian Federation, Republic of South Africa. 
 
 The IAEA Secretariat initiated the extensive efforts to explore the potential of artificial intelligence (AI) with a view to enhance efficiency and effectiveness of the Agency's work. 
 
 We note the application of AI technologies both in the IAEA administrative processes and its programmatic activities. We recognize that such systems might streamline workflows, automate repetitive processes, and lower administrative expenditures . 
 
 At the same time, integrating AI tools into the Agency’s work demands thorough oversight of data protection, risk management and ethical aspects. It is crucial that AI models are trained on a non-biased datasets and remain within the Agency's own infrastructure. This is particularly critical for programmatic activities where the Secretariat handles sensitive or confidential data provided by Member States , specifically in the fields of safeguards and nuclear security. 
 
 In this regard, we reiterate our position that the integration of AI applications into the Agency's activities must remain a controlled, responsible, and transparent process . We also emphasize that, at some point, the continued use of AI may necessitate discussion and potential approval by the IAEA policy-making organs. To this end, close contact and interaction between the Secretariat and Member States at every stage of AI integration is crucial. 
 
 Given the importance of the issue we would appreciate if the Secretariat organized a technical briefing for all Member States on all aspects of AI implementation in the Agency’s activities.",https://telegra.ph/Statement-by-the-delegation-of-the-Russian-Federation-on-behalf-of-Algeria-Belarus-Brazil-Burkina-Faso-China-Egypt-India-Indones-03-06,True,2.65K
28594,2026-03-07T12:05:48+00:00,"📺 🌟 The Embassy, in collaboration with the War Museum of the Boer Republics in Bloemfontein , is launching the #OurCommonHistory series dedicated to the role of Russian volunteers who stood alongside the Boers during the Anglo-Boer War. 
 
 “Among the most passionate supporters of the Boer Republics were the people of the Russian Empire , who demonstrated strong solidarity with the Boer cause. During the war, humanitarian initiatives were organised across Russia to send food, clothing, and financial assistance to the Boer Republics. 
 
 <…> However, Russian assistance to the Boers was not limited to diplomacy and humanitarian aid. 
 
 In total, around 250 Russian volunteers took part in various major engagements during the war. These men travelled to South Africa at their own expense and were not sent by the Russian authorities. 
 
 Among the most notable volunteers was Yevgeny Maximov, a former Imperial Russian officer who was appointed a combat general by the Boer leadership. One of Maximov’s most distinguished roles was his command of the Hollander Corps, where he demonstrated exceptional discipline, courage, and leadership.” 
 
 ☝️ To help preserve and remember this shared history, we invite you to watch these historical videos. 
 
 #RussiaInBoerWar",https://t.me/RussianEmbassyZA/12054|?q=%23OurCommonHistory|?q=%23RussiaInBoerWar,False,2.68K
28595,2026-03-07T19:03:15+00:00,"💐 On March 6, the Russian Embassy in India hosted a solemn reception on the occasion of International Women's Day . 
 
 Russian Ambassador to India Denis Alipov congratulated the women's staff of the diplomatic mission on the warm spring holiday, noted the special role and invaluable contribution of female diplomats, technical staff and spouses of employees in the work process and maintaining an atmosphere of comfort even far from the homeland. 
 
 #IWD2026 
 #InternationalWomensDay 
 
 🔸 @RusEmbIndia",?q=%23IWD2026|?q=%23InternationalWomensDay|https://t.me/RusEmbIndia,True,2.72K
